"","NEIGHBOR","total_currvalue","ave_vpa_currland_only","avg_vpa"
"1","                                         ",104320200,488203.615812606,545257.624162071
"2","ABELL                                    ",102857590,3494459.02606198,3902339.48925526
"3","ALLENDALE                                ",157130400,686302.214422055,822307.897564498
"4","ARCADIA                                  ",76936700,618252.902786428,644236.179836396
"5","ARLINGTON                                ",63269700,724051.41941636,954368.839238009
"6","ARMISTEAD GARDENS                        ",23156900,475.503772537056,658.083882305224
"7","ASHBURTON                                ",202097000,1201432.36243167,1286365.55797057
"8","AUCHENTOROLY-PARKWOOD                    ",71575800,2242678.99574995,2391720.30830368
"9","BALTIMORE HIGHLANDS                      ",139671800,1966362.57755504,1974418.2671565
"10","BALTIMORE PENINSULA                      ",372537700,1674375.79028096,1700713.64046644
"11","BARCLAY                                  ",134344600,2404344.74746636,3616610.9428907
"12","BARRE CIRCLE                             ",35131300,6078704.34194872,6198318.71180093
"13","BAYVIEW                                  ",126808900,3439528.70096077,3452255.14891901
"14","BEECHFIELD                               ",226822736,942872.867021539,973764.421518925
"15","BELAIR-EDISON                            ",692350432,1860776.56103507,1946383.79696125
"16","BELAIR-PARKSIDE                          ",21384300,1373472.87095934,1395843.51675813
"17","BELLONA-GITTINGS                         ",110498400,1280744.64367645,1284730.65689438
"18","BELVEDERE                                ",64258300,1219721.81603974,1340482.44358651
"19","BEREA                                    ",148293600,903113.675606034,1033810.15649313
"20","BETTER WAVERLY                           ",151913200,1106309.23977661,1404200.99693785
"21","BEVERLY HILLS                            ",57859400,1157725.59972981,1176614.37089137
"22","BIDDLE STREET                            ",45333300,943163.589880454,998446.678898779
"23","BLYTHEWOOD                               ",22148200,492125.422314697,810264.259067101
"24","BOLTON HILL                              ",453020613,2424362.24771645,3273542.25231236
"25","BOYD-BOOTH                               ",14547400,971781.518851014,1117320.95511596
"26","BREWERS HILL                             ",737958716,8781060.79789288,8889768.70153245
"27","BRIDGEVIEW/GREENLAWN                     ",96125300,719316.379713347,882936.867112047
"28","BROADWAY EAST                            ",127841850,1000514.12246382,1254533.73503191
"29","BROENING MANOR                           ",97699700,1310095.97414255,1394704.02880853
"30","BROOKLYN                                 ",332930500,890832.070270233,1836037.64642221
"31","BUTCHERS HILL                            ",243906900,7524660.7195521,8257644.98103868
"32","CALLAWAY-GARRISON                        ",105376100,1134255.55180537,1168876.49105845
"33","CAMERON VILLAGE                          ",58151200,1186200.55358664,1355722.75950125
"34","CANTON                                   ",NA,NA,3854793.74149249
"35","CANTON INDUSTRIAL AREA                   ",853562000,705803.439560254,787738.827429586
"36","CARE                                     ",134736200,4231188.63321454,5382375.09830348
"37","CARROLL - CAMDEN INDUSTRIAL AREA         ",188173900,577781.077097345,647250.926133491
"38","CARROLL PARK                             ",64982200,309381.594383825,482148.558578349
"39","CARROLL-SOUTH HILTON                     ",66963200,285123.493425082,434745.71181158
"40","CARROLLTON RIDGE                         ",80134800,988310.048939149,1073088.97279511
"41","CEDARCROFT                               ",97068200,1395624.95019746,1426749.96222187
"42","CEDMONT                                  ",173966700,922727.223715231,956177.18417525
"43","CEDONIA                                  ",130462700,1186731.55620719,1280368.25057609
"44","CENTRAL FOREST PARK                      ",76734700,1045795.94097955,1191075.39827401
"45","CENTRAL PARK HEIGHTS                     ",115630245,566796.93591264,894451.78100125
"46","CHARLES NORTH                            ",156984222,1140703.91312892,1530885.26068223
"47","CHARLES VILLAGE                          ",549266736,1915846.20729766,2768296.94688969
"48","CHERRY HILL                              ",202867338,344369.551391624,514207.709856033
"49","CHESWOLDE                                ",527699000,128860.999716436,133281.597264786
"50","CHINQUAPIN PARK                          ",95295500,1905699.11350164,1931472.26142028
"51","CLIFTON PARK                             ",2172200,6492.97042413532,261924.191046495
"52","COLDSPRING                               ",122401300,65198.7352275198,94184.378808387
"53","COLDSTREAM HOMESTEAD MONTEBELLO          ",173757186,776958.784212672,1059002.5920679
"54","CONCERNED CITIZENS OF FOREST PARK        ",59579000,1633193.8474369,1814153.00862574
"55","COPPIN HEIGHTS/ASH-CO-EAST               ",52985700,630976.343893946,1216519.65685267
"56","CROSS COUNTRY                            ",330921900,146163.410230743,159644.668062533
"57","CROSS KEYS                               ",174375900,36559.9825440165,44073.7408926254
"58","CURTIS BAY                               ",152732300,605361.906459574,703775.234829727
"59","CURTIS BAY INDUSTRIAL AREA               ",56952700,216266.841966097,216266.841966097
"60","CYLBURN                                  ",103076000,963177.881024948,1088391.19244513
"61","DARLEY PARK                              ",23309600,1346932.0994764,1360147.4000886
"62","DICKEYVILLE                              ",24038300,188012.660389983,449568.185421597
"63","DOLFIELD                                 ",103831100,1341823.8875986,1556324.7572912
"64","DORCHESTER                               ",93741200,987875.92464509,1295280.13442147
"65","DOWNTOWN                                 ",1638147012,3003936.23000889,5693999.99882559
"66","DOWNTOWN WEST                            ",644195600,4429632.29149848,6083087.38322414
"67","DRUID HEIGHTS                            ",49655306,1449857.89111942,1841397.40507902
"68","DRUID HILL PARK                          ",0,0,308423.946257096
"69","DUNBAR-BROADWAY                          ",7225700,81766.7204450347,6901401.916087
"70","DUNDALK MARINE TERMINAL                  ",1690800,1277.33770795878,3421.94752896268
"71","EAST ARLINGTON                           ",124607300,2276684.47340407,2422224.78693141
"72","EAST BALTIMORE MIDWAY                    ",123365000,1000206.06671379,1232498.88880117
"73","EASTERWOOD                               ",32670800,1105447.55200576,1340509.27955878
"74","EASTWOOD                                 ",34534600,2868889.33167379,2870135.42515612
"75","EDGEWOOD                                 ",98582400,2283656.50819792,2387062.53490192
"76","EDMONDSON VILLAGE                        ",201101700,2603921.27648283,2715386.55155809
"77","EDNOR GARDENS-LAKESIDE                   ",369360800,1542005.66480589,1901602.89477657
"78","ELLWOOD PARK/MONUMENT                    ",119733900,2154699.14373229,2213143.88168119
"79","EVERGREEN                                ",50920900,1836076.89669316,1952863.31367911
"80","EVERGREEN LAWN                           ",63299300,2965840.28314056,3092852.74361859
"81","EVESHAM PARK                             ",42552300,1334779.17651565,1402395.96792051
"82","FAIRFIELD AREA                           ",341738610,260651.837022725,308885.993537173
"83","FAIRMOUNT                                ",25675400,583637.482116521,1276753.87561785
"84","FALLSTAFF                                ",216020500,697485.803514098,807650.011891722
"85","FEDERAL HILL                             ",516625524,3526093.67661493,3915887.8005127
"86","FELLS POINT                              ",1121988559,996001.223019727,1048145.88967575
"87","FOREST PARK                              ",89330800,949922.821676515,978212.892679889
"88","FOREST PARK GOLF COURSE                  ",22489700,412686.824221382,469830.674041869
"89","FOUR BY FOUR                             ",38765100,1311001.7785468,1444151.05721025
"90","FRANKFORD                                ",782751000,687137.124452654,757831.966353474
"91","FRANKLIN SQUARE                          ",74247200,1040425.83989823,1402801.95939861
"92","FRANKLINTOWN                             ",60871400,171968.527347407,226331.029020363
"93","FRANKLINTOWN ROAD                        ",52294000,1142195.68618805,1555750.72771964
"94","GARWYN OAKS                              ",70941700,1175933.16198676,1230045.67701397
"95","GAY STREET                               ",77301400,1676845.9515911,2384386.20425977
"96","GLEN                                     ",417863958,365565.746842784,418310.262296546
"97","GLEN OAKS                                ",147846300,1123247.0529828,1225635.65441306
"98","GRACELAND PARK                           ",137204600,1030693.99193733,1187526.25323085
"99","GREEKTOWN                                ",500149100,5428767.82506571,5563628.14715628
"100","GREENMOUNT CEMETERY                      ",0,0,3.16245536522996
"101","GREENMOUNT WEST                          ",166473030,4892145.60215976,5666589.8641191
"102","GREENSPRING                              ",80480600,1017639.99984901,1092936.95880683
"103","GROVE PARK                               ",85156400,473468.725088576,528679.980930792
"104","GUILFORD                                 ",452390300,1687950.00694204,1787046.43813072
"105","GWYNNS FALLS                             ",76903000,830247.785662849,865160.016515696
"106","GWYNNS FALLS/LEAKIN PARK                 ",249000,632.823109492012,110315.300150776
"107","HAMILTON                                 ",370524000,975578.637664209,1065817.76064369
"108","HAMILTON HILLS                           ",502881100,879058.990438094,1120549.41636582
"109","HAMPDEN                                  ",1035608735,3770577.63402142,4257077.69837737
"110","HANLON-LONGWOOD                          ",134473600,622203.269687395,791435.529772626
"111","HARBOR EAST                              ",1286413200,1194934.0815115,1221214.83756094
"112","HARBOR POINT                             ",494202700,23225496.3888404,23225496.3888404
"113","HARLEM PARK                              ",65292600,544531.945258976,992709.17605491
"114","HARWOOD                                  ",113243000,4279714.23370605,4452493.10333735
"115","HAWKINS POINT                            ",97267400,88876.1712379291,109008.208340299
"116","HERITAGE CROSSING                        ",25228500,894784.887079792,1819025.30456051
"117","HERRING RUN PARK                         ",0,0,72386.340003557
"118","HIGHLANDTOWN                             ",368067300,6638902.23702722,6966104.55822939
"119","HILLEN                                   ",155951800,2002246.89098725,2916510.15842403
"120","HOES HEIGHTS                             ",103067000,2628939.26641987,2659073.34279105
"121","HOLABIRD INDUSTRIAL PARK                 ",178359400,570119.681570511,608849.976322104
"122","HOLLINS MARKET                           ",212148250,4995961.2687696,5528110.30221473
"123","HOMELAND                                 ",582308000,1931335.03155602,2028809.56114501
"124","HOPKINS BAYVIEW                          ",81437700,337228.389960839,2199187.48771339
"125","HOWARD PARK                              ",363349100,676259.554570397,746734.275579399
"126","HUNTING RIDGE                            ",117466900,596387.009076258,658972.488897245
"127","IDLEWOOD                                 ",132052800,1347139.19316564,1466206.22614815
"128","INNER HARBOR                             ",495413600,838976.197849192,1744729.7823829
"129","IRVINGTON                                ",181812900,374761.879814983,445707.020453584
"130","JOHNS HOPKINS HOMEWOOD                   ",779700,3655.23593386502,2632290.70951537
"131","JOHNSTON SQUARE                          ",90098700,583278.447113544,769365.082977821
"132","JONES FALLS AREA                         ",65641414,848773.690104039,1112160.6470864
"133","JONESTOWN                                ",125695931,2169785.86987389,3472935.50782176
"134","KENILWORTH PARK                          ",58938300,828446.673786927,924328.015731007
"135","KERNEWOOD                                ",39470700,1038876.98199396,1242540.10930031
"136","KESWICK                                  ",113658800,352995.05429752,353543.528560744
"137","KEY HIGHWAY                              ",923699000,334282.743245812,334939.728792065
"138","KRESSON                                  ",53934000,510628.221859888,520594.816756463
"139","LAKE EVESHAM                             ",51613600,843433.887706672,852998.457015434
"140","LAKE WALKER                              ",142004900,1384674.66935189,1402511.97899857
"141","LAKELAND                                 ",221423300,852808.192371692,903395.117604432
"142","LANGSTON HUGHES                          ",19990000,764120.716864291,998941.626107364
"143","LAURAVILLE                               ",253709712,786421.689214733,840107.095978048
"144","LEVINDALE                                ",48503798,630378.656913301,3300675.7957733
"145","LIBERTY SQUARE                           ",25309676,442497.76657202,1181518.88315909
"146","LITTLE ITALY                             ",169966600,3375784.40962835,3537550.02287884
"147","LOCH RAVEN                               ",355767711,1045303.07456009,1534168.25374686
"148","LOCUST POINT                             ",811729536,1967912.86570389,2027101.07971337
"149","LOCUST POINT INDUSTRIAL AREA             ",107963900,297913.291381298,606088.160456518
"150","LOWER HERRING RUN PARK                   ",0,0,62710.3694035735
"151","LOYOLA/NOTRE DAME                        ",14233600,76176.1643694492,1203588.85592947
"152","LUCILLE PARK                             ",20201900,424763.84477887,635963.058300881
"153","MADISON PARK                             ",102864784,1681857.99516545,3578873.40521261
"154","MADISON-EASTEND                          ",56132000,1342840.70271767,1459730.42618288
"155","MAYFIELD                                 ",87448100,369525.668410763,1560459.03664074
"156","MCELDERRY PARK                           ",172233400,3823914.31966298,4117974.47513266
"157","MEDFIELD                                 ",275343300,526734.495987323,547777.606373014
"158","MEDFORD                                  ",78473000,1169240.47976656,1174123.17961516
"159","MID-GOVANS                               ",69292500,1072635.75397001,1155092.13627216
"160","MID-TOWN BELVEDERE                       ",541195319,582338.218431938,940953.509464999
"161","MIDDLE BRANCH/REEDBIRD PARKS             ",12212829,48683.1941602063,523736.731134746
"162","MIDDLE EAST                              ",434797250,1564688.37543404,3147271.26359215
"163","MIDTOWN-EDMONDSON                        ",38474600,747245.812838484,859303.746288973
"164","MILLHILL                                 ",63135800,610735.042951888,717675.923511598
"165","MILTON-MONTFORD                          ",52181800,2793541.76483577,3227494.7818984
"166","MONDAWMIN                                ",136586200,767672.683923764,2270320.09712241
"167","MONTEBELLO                               ",2613100,29116.4701143048,529701.140205087
"168","MORAVIA-WALTHER                          ",65480500,997243.646066114,1010038.05641821
"169","MORGAN PARK                              ",24880100,264632.434206002,1896068.87933778
"170","MORGAN STATE UNIVERSITY                  ",1920000,25479.5304046854,4959708.70151191
"171","MORRELL PARK                             ",287419200,266727.068976864,281906.852923386
"172","MOSHER                                   ",30634400,655933.600848191,801361.649609091
"173","MOUNT CLARE                              ",47548129,791825.900680787,882460.860432661
"174","MOUNT HOLLY                              ",74406500,1377240.85174847,1447635.03348373
"175","MOUNT VERNON                             ",520187419,1465927.46515834,2303330.72326829
"176","MOUNT WASHINGTON                         ",527108810,381757.42193086,448959.017546866
"177","MOUNT WINANS                             ",32445800,949215.703651218,1189882.54079243
"178","MT PLEASANT PARK                         ",0,0,960080.454145518
"179","NEW NORTHWOOD                            ",205110500,1332358.66155418,1437647.28323631
"180","NORTH HARFORD ROAD                       ",397811600,1193928.62457043,1247522.39165686
"181","NORTH ROLAND PARK/POPLAR HILL            ",263429900,691274.363149324,3474806.59300068
"182","NORTHWEST COMMUNITY ACTION               ",36327600,766404.801871535,1013305.56153589
"183","O'DONNELL HEIGHTS                        ",808300,8516.12400274191,258192.485987373
"184","OAKENSHAWE                               ",97904400,255297.892703839,261413.293216677
"185","OAKLEE                                   ",38290300,2122637.19583131,2122637.19583131
"186","OLD GOUCHER                              ",72824965,3018746.63745858,3811787.03534346
"187","OLDTOWN                                  ",39116500,460679.699480735,1465426.99388718
"188","OLIVER                                   ",175024900,905575.216014649,1019467.95356253
"189","ORANGEVILLE                              ",62817000,392935.31924397,451648.239209708
"190","ORANGEVILLE INDUSTRIAL AREA              ",82186670,340886.031973793,433703.449217127
"191","ORCHARD RIDGE                            ",31722800,240639.315349894,484391.039159572
"192","ORIGINAL NORTHWOOD                       ",98007800,1190285.05423914,1438081.46538365
"193","OTTERBEIN                                ",475211400,1126512.52407468,1294094.83165331
"194","OVERLEA                                  ",52268800,299252.821411992,533237.602155426
"195","PANWAY/BRADDISH AVENUE                   ",67815600,1857517.54682257,1861889.10440626
"196","PARK CIRCLE                              ",94739300,645748.585382062,768040.257310705
"197","PARKLANE                                 ",49445700,821404.844079494,901716.816985173
"198","PARKSIDE                                 ",96935600,1768963.59350925,1815996.36443707
"199","PARKWAY                                  ",36758800,938142.251777667,1755695.08987345
"200","PATTERSON PARK                           ",0,0,288263.489048021
"201","PATTERSON PARK NEIGHBORHOOD              ",574627600,9159756.68656381,9387883.60888432
"202","PATTERSON PLACE                          ",108882200,7585811.49772717,7668335.48896777
"203","PEN LUCY                                 ",124825360,1433414.72764892,1702762.25292568
"204","PENN NORTH                               ",79914800,1403071.33521885,2691872.35023078
"205","PENN-FALLSWAY                            ",9203700,155116.073545029,9047391.01088384
"206","PENROSE/FAYETTE STREET OUTREACH          ",102790600,548793.75147902,677987.236451525
"207","PERKINS                                  ",0,0,300878.435647073
"208","PERRING LOCH                             ",166134400,1523076.60340156,1645271.54575798
"209","PIMLICO GOOD NEIGHBORS                   ",51800672,365404.178079185,405277.792131308
"210","PLEASANT VIEW GARDENS                    ",10492000,455068.891171317,1650071.47178263
"211","POPPLETON                                ",111542891,1469818.22383111,3489221.45884925
"212","PORT COVINGTON                           ",214337600,52550540.0466782,52550540.0466782
"213","PULASKI INDUSTRIAL AREA                  ",312431900,306205.670897365,347682.110247004
"214","PURNELL                                  ",10135600,420161.947556835,420626.233224446
"215","RADNOR-WINSTON                           ",39006900,1010077.18707145,1339933.34667584
"216","RAMBLEWOOD                               ",87808100,1281041.05585874,1769468.0393032
"217","REISTERSTOWN STATION                     ",156400600,153792.466591028,173785.410548588
"218","REMINGTON                                ",282214100,3305603.71565994,3644233.12893462
"219","RESERVOIR HILL                           ",369095286,2963795.67539305,3272754.45102719
"220","RICHNOR SPRINGS                          ",25436500,1726971.35875819,1741534.50056047
